Name,CollisionLink,X(m),Y(m),Z(m),Mass(kg),Lxx(kg * m²),Lyy(kg * m²),Lzz(kg * m²),Lxy(kg * m²),Lxz(kg * m²),Lyz(kg * m²)
RootWaist,Link 0,-0.010985,0.119677,0.878198,2.5,0.038530767,0.017354343,0.053231634,-1.35E-07,0.000238121,-4.80E-10
RightSagittalAnkle,Link 1,0.01003,0.000936,0.056105,3.1334,0.00774203,0.014781323,0.013361748,0.000455866,-0.001851657,-0.000147513
RightFrontalAnkle,Link 2,0.002577,-0.013536,0.123232,1.50359,0.001395488,0.001589358,0.002418657,6.85E-06,1.00E-11,0
RightFrontalKnee,Link 3,-0.006614,-0.026411,0.276637,1.94824,0.02186171,0.021411109,0.003843636,0,3.16E-06,0
RightFrontalHip,Link 4,-0.010862,-0.026006,0.591845,1.89152,0.015077735,0.015112044,0.00747346,0,-0.000442074,0
RightSagittalHip,Link 5,-0.000636,-0.024942,0.753399,1.45459,0.001545815,0.00119159,0.002270482,-2.97E-06,-4.07E-09,9.16E-09
RightAxialHip,Link 6,0.000089,-0.026389,0.779065,0.84945,0.001564202,0.002645089,0.001706349,0,2.50E-06,0
LeftAxialHip,Link 7,0.000089,0.274111,0.779065,0.84945,0.001564202,0.002645089,0.001706349,2.50E-06,0,0
LeftSagittalHip,Link 8,-0.00011,0.273512,0.753264,1.45459,0.001545815,0.00119159,0.002270482,-2.97E-06,-4.07E-09,9.16E-09
LeftFrontalHip,Link 9,-0.010862,0.274494,0.591845,1.89152,0.015077735,0.015112044,0.00747346,0,-0.000442074,0
LeftFrontalKnee,Link 10,-0.006614,0.274089,0.276637,1.94824,0.02186171,0.021411109,0.003843636,0,3.16E-06,0
LeftFrontalAnkle,Link 11,0.001999,0.288293,0.123085,1.50359,0.001392287,0.001590045,0.00241606,-1.21E-05,1.00E-11,1.00E-11
LeftSagittalAnkle,Link 12,0.010136,0.273701,0.05615,3.1334,0.007763728,0.014591641,0.013164253,-0.000524258,-0.001424772,0.000173925
AxialWaist,Link 13,-0.002235,0.127521,0.826236,1,0.001977587,0.000899729,0.001471749,2.06E-06,2.97E-05,-3.07E-06
FrontalWaist,Link 14,0.032985,0.120624,1.258917,14.23545,0.33566514,0.126531585,0.263359225,0.000162127,0.011858221,0.000914091
RightFrontalShoulder,Link 15,-0.002267,-0.162234,1.351706,2,0.004226791,0.002127281,0.004093161,8.44E-05,-1.17E-05,-0.000280493
RightSagittalShoulder,Link 16,-0.008472,-0.213483,1.315929,1,0.001610932,0.002187776,0.001173533,-6.90E-05,-0.000214886,-6.90E-05
RightAxialShoulder,Link 17,0.000347,-0.218171,1.120712,1,0.006925108,0.006741634,0.000611796,0,0,-3.97E-05
RightFrontalElbow,Link 18,0.000237,-0.218536,0.96335,1,0.002590029,0.00262307,0.000446024,0,0,0
RightAxialWrist,Link 19,-0.001151,-0.217817,0.83597,0.63149,0.000701463,0.000612806,0.000326949,-1.05E-05,-1.09E-05,1.15E-05
RightFrontalWrist,Link 20,-0.002314,-0.21835,0.702695,1.17,0.005329957,0.005345282,0.000883179,1.02E-07,0.000114751,-0.00000807
LeftFrontalShoulder,Link 21,-0.002272,0.419256,1.351415,2,0.004226791,0.00212734,0.00409322,-8.55E-05,-1.17E-05,0.000280493
LeftSagittalShoulder,Link 22,-0.008047,0.470594,1.315631,1,0.001610921,0.002187768,0.001173531,6.90E-05,-0.000214885,-0.000163004
LeftAxialShoulder,Link 23,-0.000172,0.475665,1.113979,1,0.006925108,0.006741634,0.000611796,0,0,3.97E-05
LeftFrontalElbow,Link 24,0.000287,0.47538,0.960145,1,0.002590029,0.00262307,0.000446024,0,0,0
LeftAxialWrist,Link 25,-0.001151,0.476023,0.83597,0.63149,0.000701463,0.000612806,0.000326949,-1.05E-05,-1.09E-05,1.15E-05
LeftFrontalWrist,Link 26,-0.002314,0.47549,0.702695,1.17,0.005330647,0.005345282,0.000882489,1.28E-07,0.000100487,-8.07E-06
AxialNeck,Link 27,0.000302,0.128693,1.46055,1,0.000939063,0.000939063,0.000528125,0,0,0
FrontalNeck,Link 28,-0.002729,0.128414,1.572777,2,0.007599322,0.008325273,0.011403464,5.83E-09,6.58E-05,-7.43E-09
